0.1,31050.8,5936.8,36987.6,81.1785,68.5551
0.2,30738.1,6263.61,37001.7,80.361,19.8041
0.3,32552.6,4424.53,36977.1,85.1048,103.021
0.4,32072.8,4901.83,36974.7,83.8506,76.8189
0.5,31256.2,5711.59,36967.8,81.7156,70.4423
0.6,31074.6,5933,37007.6,81.2408,77.7889
0.7,31761.1,5235.58,36996.6,83.0355,3.07421
0.8,31810.3,5126.48,36936.7,83.1641,63.2321
0.9,30270.2,6716.75,36986.9,79.1377,-20.1681
1,29504.3,7393.11,36897.4,77.1354,5.84028
1.1,30945.8,5982.24,36928,80.904,67.4737
1.2,31094.5,5846.3,36940.8,81.2928,48.8947
1.3,30656.1,6296.68,36952.8,80.1467,49.1753
1.4,30766.5,6161.7,36928.2,80.4353,5.62955
1.5,31712.8,5270.39,36983.2,82.9092,77.644
1.6,31504.1,5565.64,37069.8,82.3638,80.8751
1.7,31104.9,5924.83,37029.7,81.3199,98.9762
1.8,31016.2,6036.83,37053.1,81.0882,69.27
1.9,30345.1,6739.81,37084.9,79.3335,91.4965
2,31852.6,5196.19,37048.8,83.2748,65.5875
2.102,30917.3,6141.35,37058.6,80.8295,83.8645
2.202,32255.4,4809.28,37064.6,84.3277,74.8948
2.302,32183.5,4872.41,37055.9,84.1397,79.3465
2.402,31284.5,5722.61,37007.2,81.7897,107.631
2.502,30772.4,6253.07,37025.5,80.4508,69.4446
2.602,31562.3,5480.92,37043.2,82.5158,39.9235
2.702,30735.3,6397.08,37132.3,80.3536,44.0212
2.802,31240.3,5862.8,37103.1,81.6741,89.6899
2.902,32237.2,4997.38,37234.6,84.2802,90.3001
3.002,31931.5,5264.35,37195.8,83.481,68.9623
3.102,30577.2,6621,37198.2,79.9403,47.6538
3.202,31523.2,5648.42,37171.6,82.4136,83.8514
3.302,31256.9,5919.35,37176.2,81.7173,83.9834
3.402,31262.8,5918.74,37181.5,81.7327,53.5312
3.502,32419.2,4917.98,37337.1,84.756,43.8067
3.602,31549.1,5732.24,37281.3,82.4813,88.4757
3.702,31417.3,5948.05,37365.4,82.1368,19.1778
3.802,31355.6,6018.62,37374.2,81.9754,85.1391
3.902,31560.7,5801.98,37362.7,82.5115,56.8073
4.002,30702.1,6670.34,37372.4,80.2668,21.3075
4.102,31979.6,5432.47,37412,83.6067,21.3233
4.202,31962.2,5518.18,37480.4,83.5613,41.9362
4.302,31526,5915.6,37441.6,82.421,67.6867
4.402,31931.2,5653.07,37584.3,83.4803,58.0149
4.502,31957.8,5659.68,37617.4,83.5497,43.2333
4.602,32732.1,4836.42,37568.5,85.574,94.348
4.702,31330,6205.81,37535.8,81.9086,24.4603
4.802,31518.7,6013.86,37532.6,82.402,90.2163
4.902,31046.7,6349.52,37396.3,81.1679,108.508
5.002,31963.3,5387.24,37350.6,83.5643,69.5075
5.102,31752.5,5680.53,37433.1,83.0131,91.7816
5.202,31807,5519.66,37326.7,83.1557,64.4685
5.302,31107.7,6289.77,37397.5,81.3274,92.2067
5.402,31114.8,6249.37,37364.2,81.346,117.961
5.502,31246.6,6150.11,37396.7,81.6906,66.4697
5.602,31328.6,6055.67,37384.3,81.9048,96.8188
5.702,31667.4,5711.72,37379.1,82.7905,94.4291
5.802,31102,6380.09,37482.1,81.3125,88.6707
5.902,31887,5557.71,37444.7,83.3647,87.4246
6.002,30101.3,7328.09,37429.4,78.6961,74.7049
6.102,31021.8,6410.76,37432.5,81.1026,40.021
6.202,30395,7021.61,37416.6,79.464,80.9227
6.302,31226.7,6242.17,37468.8,81.6383,60.3092
6.402,32022.2,5402.2,37424.4,83.718,62.0421
6.502,31942.9,5508.81,37451.7,83.5108,80.578
6.602,32264,5179.57,37443.5,84.3502,89.1278
6.702,31780.3,5675.71,37456,83.0858,45.0843
6.802,31956.1,5454.18,37410.2,83.5452,80.7269
6.902,31153.7,6273.89,37427.6,81.4476,1.07764
7.002,31516.3,5953.91,37470.2,82.3955,51.835
7.102,31848.7,5582.55,37431.3,83.2646,55.8349
7.202,32144.2,5314.12,37458.3,84.0371,90.2971
7.302,32357.3,5116.1,37473.4,84.5943,80.5819
7.402,32186.7,5303.14,37489.9,84.1483,55.1627
7.502,31801.3,5691.92,37493.2,83.1407,92.5202
7.602,32928.6,4535.58,37464.2,86.0878,44.5713
7.702,31931.4,5562.28,37493.7,83.4809,108.709
7.802,31818,5746.9,37564.9,83.1843,85.9781
7.902,31053.9,6484.95,37538.8,81.1866,51.0148
8.002,32375.7,5122.29,37498,84.6423,101.787
8.102,31795.5,5699.13,37494.7,83.1256,48.0422
8.202,31381.5,6099.8,37481.3,82.043,75.228
8.302,31611.9,5872.9,37484.8,82.6456,61.8669
8.402,31741.3,5791.85,37533.1,82.9837,49.8626
8.502,31817.1,5751.47,37568.6,83.182,73.097
8.602,32729.6,4809.45,37539,85.5675,94.5021
8.702,32438.8,5123.08,37561.8,84.8072,78.2469
8.802,30688.6,6904.44,37593,80.2316,65.1213
8.902,32093.9,5446.58,37540.5,83.9057,61.927
